Requirement,Appropriate,Complete,Conforming,Correct,Feasible,Necessary,Singular,Unambiguous,Verifiable
Uyuşmazlık Sistemi uyuşmazlık vakası başlatma ve takip işlemleriyle ilgili olarak farklı erişim seviyeleri sağlamalıdır,1,1,1,1,1,1,1,1,0
Uyuşmazlık Sistemi uygulamanın yetkili kullanıcıları için görüntüleme erişim yeteneği sağlamalıdır,1,1,1,1,1,1,1,1,0
Uyuşmazlık Sistemi uygulamanın yetkili kullanıcıları için güncelleme erişim yeteneği sağlamalıdır,1,1,1,1,1,1,1,1,0
Uyuşmazlık Sistemi kullanıcıların bir kullanıcı arayüzünden tartışmalı işlemleri (işlemin yaşına göre) seçmesine ve seçilen işlem üzerinde bir uyuşmazlık (fiş alma talebi veya ters ibraz bildirimi) başlatmasına izin vermelidir,1,1,1,1,1,1,0,1,0
Uyuşmazlık Sistemi kullanıcıya tek bir satıcıya ait birden fazla işlem üzerinde tek bir uyuşmazlık vakası başlatma yeteneği sağlamalıdır,1,1,1,1,1,1,1,1,0
Uyuşmazlık Sistemi kullanıcıya fiş alma talebi oluşturma veya başlatma yeteneği sağlamalıdır. Fiş alma oluşturma sürecinin bir parçası olarak sistem kullanıcıdan fiş alma talebi oluşturmak için gereken tüm bilgileri girmesini istemelidir. Fiş alma talebi bir işlemin geçerliliğini sorgulayan satıcıya gönderilen bir belgedir,1,1,1,1,1,1,0,1,0
Uyuşmazlık Sistemi kullanıcının üç benzersiz fiş alma talebi türü oluşturmasına izin vermelidir. Üç fiş alma talebi türü şunlardır (1) Orijinal fiş talebi (2) Fişin kopyası talebi veya (3) Portföy talebi. Bir portföy satış fişinden daha fazlası olan bir araç kiralama kuruluşundan alınan belgeler gibi bir satın alma kanıtı sağlayacak belgelerden oluşur,1,1,1,1,1,1,0,1,1
Uyuşmazlık Sistemi harici kullanıcıların orijinal fiş talep etmesini engellemelidir. Orijinal fiş talepleri dahili kullanıcılarla sınırlıdır,1,1,1,1,1,1,1,1,0
Uyuşmazlık Sistemi fiş alma talebi oluşturulduktan sonra kullanıcıya şu bilgileri içeren bir onay sağlamalıdır; uyuşmazlık vaka numarası talep edilen alma türü (kopya orijinal veya portföy) ve satıcı yanıtının son tarihi,1,0,1,1,1,1,1,1,1
Uyuşmazlık Sistemi kullanıcının ters ibraz talebi oluşturmasına veya başlatmasına izin vermelidir. Sistem kullanıcıdan ters ibraz talebi başlatmak için gerekli bilgileri girmesini istemelidir. Ters ibraz talebi tartışmalı işlemin geçerli olduğuna dair kanıt sağlanmazsa hesaplarının ters ibraz edileceğini belirten satıcıya gönderilen basılı bir ters ibraz bildirimiyle sonuçlanır,1,1,1,1,1,1,0,1,0
Uyuşmazlık Sistemi ters ibraz talebi oluşturulduktan sonra kullanıcıya bir onay sağlamalıdır. Onay şu bilgileri içermelidir; uyuşmazlık vaka numarası talep edilen ters ibraz türü (bekleyen veya anında) ve satıcı yanıtının son tarihi,1,0,1,1,1,1,1,1,1
Uyuşmazlık Sistemi yinelenen uyuşmazlık taleplerinin oluşturulmasını zamanın %100'ünde engellemeli,1,1,1,1,1,1,1,1,1
Uyuşmazlık Sistemi belirli bir işlem için olası neden kodlarının listesini doğru bir şekilde sağlamalıdır. Olası neden kodları listesi işlem türüne ve satıcının ait olduğu sektöre göre Uyuşmazlık Sistemi için tanımlanan iş kurallarına göre türetilmelidir,1,1,1,1,1,1,0,1,0
Uyuşmazlık Sistemi mevcut uyuşmazlık vakalarını görüntüleme yeteneği sağlamalıdır,1,1,1,1,1,1,1,1,0
Uyuşmazlık Sistemi Arama işlevselliği sağlamalıdır. Arama yöntemi şunlara göre arama yapma yeteneğini içermelidir (1) uyuşmazlık vaka numarası (2) satıcı hesap numarası (3) kart üyesi hesap numarası ve (4) düzenleyen kuruluş numarası. Yukarıdaki kriterlere ek olarak arama işlevselliği kullanıcının arama sonuçlarını bir tarih aralığı uyuşmazlık türü (fiş alma talebi veya ters ibraz bildirimi) vaka durumu (açık kapalı veya tümü) ve uyuşmazlık neden koduna göre sınırlandırmasına izin vermelidir,1,1,1,1,1,1,0,1,0
Girilen arama kriterlerini karşılayan tüm uyuşmazlık vakalarının listesi kullanıcıya sağlanmalıdır. Vaka listesi listedeki satır öğesini renk kodlayarak vakanın türünü ve/veya durumunu ayırt etmelidir. Örneğin tüm açık vakalar sarı ve tüm kapalı vakalar gri olacaktır,1,1,1,1,1,1,0,1,1
Uyuşmazlık Sistemi kullanıcılara uyuşmazlık vakasında gerçekleşen tüm faaliyetlerin geçmişini görüntüleme yeteneği sağlamalıdır,1,1,1,1,1,1,1,1,0
Uyuşmazlık Sistemi kullanıcılara takip eylemleri aracılığıyla bir uyuşmazlık vakasını takip etme yeteneği sağlamalıdır. Belirli bir uyuşmazlık vakası için kullanılabilir takip eylemlerinin listesi vakanın durumuna ve kullanıcının erişim düzeyine göre filtrelenmelidir,1,1,1,1,1,1,0,1,0
Uyuşmazlık Sistemi sistemde uyuşmazlık vakasını oluşturan veya değiştiren herhangi bir faaliyet için kullanıcının adını ve tarihi kaydetmelidir. Denetim amaçları için gerçekleştirilen eylemin tarihi ve eylemi gerçekleştiren kullanıcı dahil olmak üzere vaka üzerinde gerçekleştirilen eylemlerin ayrıntılı bir geçmişi tutulmalıdır,1,1,1,1,1,1,0,1,0
Uyuşmazlık yaşlandırma süreci gibi bir vaka üzerinde gerçekleşen herhangi bir sistematik (kullanıcı tarafından başlatılmayan) eylem için bir vaka etkinliği oluşturulacaktır. Bir sonraki oturum açmada uyuşmazlık vakasını başlatan kullanıcıya uyuşmazlık vakasında sistematik bir eylemin gerçekleştiğine dair bildirim yapılmalıdır,1,1,1,1,1,1,0,1,0
Tüm mektup talepleri Mektup Yazdırma Programı sistemi tarafından belirtilen yönergelere göre biçimlendirilmelidir,1,1,1,1,1,1,1,1,0
6 aydan fazla süredir kapatılmış olan tüm uyuşmazlık vakaları çevrimiçi uyuşmazlık veritabanından temizlenmelidir,1,1,1,1,1,1,1,1,1
Ürün Internet Explorer 5.5 ve üstünü desteklemelidir,1,1,1,1,1,1,1,1,1
Ürün Mozilla Firefox 1.0 ve üstünü desteklemelidir,1,1,1,1,1,1,1,1,1
Ürün Choice Parts Sistemi ile arayüz oluşturmalıdır. Bu geri dönüştürülmüş parça verilerinin beslemesini sağlar,1,0,1,1,1,1,0,1,0
Ürün tüm ortamlar için mevcut donanım üzerinde çalışmalıdır,1,0,1,1,1,1,1,0,0
Ürün kurumsal Mimari yönergelerine uymalıdır,1,0,1,1,1,1,1,0,0
Ürün kurumsal Kullanıcı Arayüzü Yönergelerine uymalıdır,1,1,1,1,1,1,1,1,0
Ürün kurumsal renk şemasına uymalıdır,1,1,1,1,1,1,1,1,0
Ürünün görünümü profesyonel görünmelidir,1,0,1,1,1,1,1,0,0
Yazılım ürününün Windows veya Linux platformlarında çalışması beklenmektedir,1,1,1,1,1,1,1,1,1
Ürün Eksperler ve Hasar Değerlendiricileri tarafından kullanımı kolay olmalıdır. Eksperler ve Hasar Değerlendiricilerinin %95'i ürünü kullanımı kolay bulmalıdır,1,1,1,1,1,1,0,1,1
Ürün Hasar Değerlendiricilerinin üretkenliğini artırmalıdır. Hasar Değerlendiricilerinin %80'i ürünü kullanmaya başladıktan 1 ay içinde üretkenliklerinin arttığını kabul etmelidir,1,1,1,1,1,1,1,1,1
Kullanıcılar ürünü kullanarak memnun hissetmelidir. Tüm kullanıcıların %85'i üründen memnun olacaktır,1,1,1,1,1,1,0,1,1
Ürün Eksperler ve Hasar Değerlendiricileri tarafından öğrenilmesi kolay olmalıdır. Ürün iki günlük yerinde eğitimle öğrenilecektir,1,1,1,1,1,1,0,1,1
Kullanıcı ürünü kullanırken talimatları kolayca bulabilmelidir. Kullanıcı yardımı sistemin %90'ında bulunabilir,1,1,1,1,1,1,0,1,1
Geri dönüştürülmüş parça araması 15 saniyeden uzun sürmemelidir. Arama sonuçları 15 saniyenin altında döndürülecektir,1,1,1,1,1,1,0,1,1
Tercih edilen tamir tesisi araması 8 saniyeden uzun sürmemelidir. Tercih edilen tamir tesisi 8 saniye içinde döndürülür,1,1,1,1,1,1,0,1,1
Geri dönüştürülmüş parça denetim raporu kullanıcıya 10 saniye içinde döndürülmelidir. Denetim raporu 10 saniye içinde döndürülecektir,1,1,1,1,1,1,0,1,1
Tercih edilen tamir tesisi derecelendirmeleri 5 saniye içinde kaydedilmelidir. Kaydetme 5 saniye içinde gerçekleşecektir,1,1,1,1,1,1,0,1,1
Ürün kurumsal çevrimiçi kullanılabilirlik programına uymalıdır. Uygulama yalnızca kullanılabilirlik programına göre planlanan kesintilerin %98'i dahilinde kapatılır,1,1,1,1,1,1,0,1,1
Ürün %98 çalışma süresine ulaşmalıdır. Ürün kullanılabilir çevrimiçi zamanın %2'sinden fazla başarısız olmamalıdır,1,1,1,1,1,1,0,1,1
Ürün 1500'e kadar eşzamanlı kullanıcıyı idare edebilmelidir. Sistem aynı anda 1500 kullanıcıyla performans göstermelidir,1,1,1,1,1,1,0,1,1
Günlük ortalama geri dönüştürülmüş parça kaydı sayısı 50.000 olmalıdır,1,1,1,1,1,1,1,1,1
Ürün ilk lansmanın 2 yıl içinde 10.000 eşzamanlı kullanıcıyı idare edebilmelidir,1,1,1,1,1,1,1,1,1
Değerlendiriciler için ürün tamir tesisinde kirli ve gürültülü koşullarda çalıştırılabilmelidir,1,1,1,1,1,1,1,1,0
Ürün günde bir kez yaklaşık saat 1'de ChoiceParts sistemiyle arayüz oluşturmalıdır,1,0,1,1,1,1,1,1,1
Ürünün bakımı kurulmuş kurumsal bakım pencereleri dahilinde kalacaktır,1,0,1,1,1,1,1,0,0
Ürün kurumsal destek merkezi kullanılarak desteklenmelidir,1,1,1,1,1,1,1,1,0
Ürün kurulumları ve yükseltmeleri kurulmuş başlatma zaman çerçeveleri dahilinde ara katman teknoloji ekibi tarafından yönetilmelidir,1,1,1,1,1,1,1,1,0
Yalnızca eksperler geri dönüştürülmüş parça denetim raporları talep edebilir. Eksper rolü olmayan hiçbir kullanıcı geri dönüştürülmüş parça denetimleri talep etmemelidir,1,1,1,1,1,1,0,1,0
Yalnızca süpervizör rolüne sahip eksperler tercih edilen tamir tesisi derecelendirmelerini güncelleyebilir. Süpervizör rolü olmayan kullanıcılar tamir tesisi derecelendirmelerine erişemez,1,1,1,1,1,1,0,1,0
Yalnızca hasar değerlendiricileri geri dönüştürülmüş parça araması yapabilir. Hasar değerlendiricisi rolü olmayan kullanıcılar geri dönüştürülmüş parça aramaya erişemez,1,1,1,1,1,1,0,1,0
Sisteme yalnızca geçerli veri girilmelidir. Sisteme geçersiz veri girilmemelidir,1,1,1,1,1,1,0,1,0
Bir sigorta şirketi başka bir sigorta şirketinin hasar verilerini görüntüleyememeli,1,1,1,1,1,1,1,1,0
Ürün bilgisayar virüslerinden arınmış olmalıdır,1,0,1,1,1,1,1,0,0
Sistem hizmet reddi dahil kötü amaçlı saldırıları engellemelidir,1,1,1,1,1,1,1,1,0
Ürün Sarbanes-Oxley'e uymalıdır,1,1,1,1,1,1,1,1,0
Ürün geri dönüştürülmüş parça kullanımıyla ilgili tahmin yasalarına uymalıdır,1,1,1,1,1,1,1,1,0
Ürün hasar işlemeyle ilgili sigorta düzenlemelerine uymalıdır,1,1,1,1,1,1,1,1,0
Kullanıcı araç araç konumu ve mil cinsinden yarıçap kullanarak tercih edilen tamir tesisini aramalıdır,1,1,1,1,1,1,1,1,0
Araç verileri araç yılı marka ve modeli içermelidir,1,1,1,1,1,1,1,1,0
Araç konumu sokak adresi şehir eyalet ve posta kodu içermelidir,1,1,1,1,1,1,1,1,0
Posta kodu bilinmiyorsa sistem sokak adresi şehir ve eyalet için posta kodunu çözmelidir,1,1,1,1,1,1,1,1,0
Arama yarıçapı 1 ile 30 mil arasında olmalıdır,1,1,1,1,1,1,1,1,1
Sistem girdi kriterleri için en yüksek derecelendirmeye sahip tercih edilen tamir tesisini bulmalıdır,1,1,1,1,1,1,1,1,0
Eksper tahmin atamasına tercih edilen tamir tesisini girmelidir,1,1,1,1,1,1,1,1,0
Eksper tahmin atamasında tercih edilen tamir tesisini geçersiz kılabilmelidir,1,1,1,1,1,1,1,1,0
Tercih edilen tamir tesisi kullanıcıya döndürülmelidir,1,1,1,1,1,1,1,1,0
Tercih edilen tamir tesisi belirlenemezse sistem yarıçap içindeki tamir tesislerinin listesini döndürmelidir,1,1,1,1,1,1,1,1,0
Değerlendirici hasarlı araç parça bilgilerini kullanarak mevcut geri dönüştürülmüş parçaları aramalıdır,1,1,1,1,1,1,1,1,0
Değerlendirici tercih edilen parça tedarikçileri listesini kullanarak mevcut geri dönüştürülmüş parçaları aramalıdır,1,1,1,1,1,1,1,1,0
Sistem sağlanan araç parçaları ve tedarikçiler için mevcut geri dönüştürülmüş parçaları aramalıdır,1,1,1,1,1,1,1,1,0
Tercih edilen parça tedarikçileri için parça bulunamazsa değerlendirici 30 mil yarıçapında posta koduna göre arama yapmalıdır,1,1,1,1,1,1,1,1,0
Sistem aramadan döndürülen mevcut geri dönüştürülmüş parçaları ve tedarikçileri saklamalıdır,1,1,1,1,1,1,1,1,0
Mevcut geri dönüştürülmüş parça bilgileri ve tedarikçileri kullanıcıya döndürülmelidir,1,1,1,1,1,1,1,1,0
Değerlendirici seçilen geri dönüştürülmüş parçaları çarpışma tahminine uygulamalıdır,1,1,1,1,1,1,1,1,0
Kullanılabilir parça döndürülmezse değerlendirici geri dönüştürülmüş parçaları çarpışma tahminine uygulamamalıdır,1,1,1,1,1,1,1,1,0
Eksper çarpışma tahminini gözden geçirmelidir,1,1,1,1,1,1,1,1,0
Eksper çarpışma tahmininin geri dönüştürülmüş parça denetimi talep etmelidir,1,1,1,1,1,1,1,1,0
Değerlendiriciye sağlanan geri dönüştürülmüş parça arama sonuçları sistem tarafından alınmalıdır,1,1,1,1,1,1,1,1,0
Sistem mevcut geri dönüştürülmüş parçalar ve çarpışma tahminine dayalı bir denetim raporu oluşturmalıdır,1,1,1,1,1,1,1,1,0
Denetim raporu tahminde kullanılan geri dönüştürülmüş parçaların toplam sayısını içermelidir,1,1,1,1,1,1,1,1,0
Denetim raporu orijinal arama sonuçlarından mevcut geri dönüştürülmüş parça sayısını içermelidir,1,1,1,1,1,1,1,1,0
Denetim raporu tahminde kullanılan mevcut geri dönüştürülmüş parçaların yüzdesini içermelidir,1,1,1,1,1,1,1,1,0
Denetim raporu bireysel satır öğelerini toplayan denetimin toplam puanını içermelidir,1,1,1,1,1,1,1,1,0
Denetim raporu kullanıcıya görüntülenmelidir,1,1,1,1,1,1,1,1,0
Denetim raporu daha sonraki zamanlarda diğer eksperlere sunulmalıdır,1,1,1,1,1,1,1,1,0
Kullanıcı tercih edilen tamir tesisi derecelendirmelerini görüntülemeyi seçmelidir,1,1,1,1,1,1,1,1,0
Mevcut tamir tesisi derecelendirmeleri kullanıcıya görüntülenmelidir,1,1,1,1,1,1,1,1,0
Henüz tanımlanmış derecelendirmeler yoksa sistem boş bir derecelendirme seti görüntüleyecektir,1,1,1,1,1,1,1,1,0
Kullanıcı denetim raporuna dayalı yeni derecelendirmeler girmelidir,1,1,1,1,1,1,1,1,0
Derecelendirmeler 1-10 ölçeğinde olmalıdır,1,1,1,1,1,1,1,1,1
Derecelendirmeler geri dönüştürülmüş parça kullanma girişimi ve geri dönüştürülmüş parça fiili kullanımı kategorilerini içermelidir,1,1,1,1,1,1,1,1,0
Kullanıcı tercih edilen tamir tesisi derecelendirmelerini kaydetmeyi seçmelidir,1,1,1,1,1,1,1,1,0
Tercih edilen tamir tesisi derecelendirmeleri sistem tarafından kaydedilmelidir,1,1,1,1,1,1,1,1,0
Ürün piyasadaki çoğu veritabanı yönetim sistemiyle (DBMS) çalışmalıdır. DBMS ürünle aynı makinede birlikte bulunsa veya bilgisayar ağındaki farklı bir makinede bulunsa da çalışmalıdır,1,1,1,1,1,1,0,1,0
Ürün Java çalışma zamanının kurulabileceği herhangi bir işletim sisteminde sunucu yazılımının yanında çalışacaktır,1,1,1,1,1,1,1,1,0
Ürün bir veritabanı yönetim sistemiyle (DBMS) işbirliği gerektirecektir. DBMS ürünle aynı makinede veya aynı bilgisayar ağında bulunan ayrı bir makinede bulunabilir,1,1,1,1,1,1,0,1,0
Ürün web/uygulama sunucusu teknolojisinden yararlanmalıdır. Açık kaynak örnekleri Apache web sunucusu Tomcat ve JBoss uygulama sunucusunu içerir,1,1,1,1,1,1,1,1,0
Oracle DB2 MySql veya HSQL gibi bir veritabanı yönetim sisteminin ürünle entegre edilmesi gerekecektir,1,1,1,1,1,1,1,1,0
Ürünün Görünüm ve Hissi müşterinin organizasyonunun logo marka ve kimlik gibi yönlerini içerebilmelidir,1,1,1,1,1,1,1,1,0
Ürün muhafazakar ve profesyonel bir görünüme sahip olmalıdır,1,0,1,1,1,1,1,0,0
Ürün kullanıcıların onu kullanmak istemesini sağlamalıdır. Anket yapılan kullanıcıların %80'i lansmanın ilk 2 haftası sonrasında ürünü düzenli olarak kullandıklarını bildiriyor,1,1,1,1,1,1,0,1,1
Ürün kullanımı kolay olmalıdır. Kullanıcıların %90'ı ürün kullanımının 5 dakikası içinde başarılı bir şekilde toplantı odası rezervasyonu yapabilecektir,1,1,1,1,1,1,0,1,1
Ürün gerektiğinde kullanıcılara geri bildirim vermelidir. Anket yapılan kullanıcıların %80'i ürünün eylemlerini doğru bir şekilde onayladığını bildirmektedir,1,1,1,1,1,1,0,1,1
Ürün kullanıcının hedef pazar ülkelerinden birinin seçilen dilini seçmesine izin vermelidir,1,1,1,1,1,1,1,1,0
Ürün başlangıç sayfası ve görünüm tercihlerinin özelleştirilmesine izin vermelidir,1,1,1,1,1,1,1,1,0
Bir çalışan birkaç dakika içinde ürünü başarıyla kullanabilecektir. Ürünü 15 dakikadan az gayri resmi olarak gezindikten sonra kullanıcılar toplantı kurabilmeli ve toplantı odası rezerve edebilmelidir,1,1,1,1,1,1,0,1,1
Ürün çoğu web kullanıcısına tanıdık standart bir gezinme menüsü kullanmalıdır,1,1,1,1,1,1,1,1,0
Ürün mevcut toplantı odalarının sezgisel aramasına izin vermelidir,1,0,1,1,1,1,1,0,0
Ürün Amerikalılar Engelliler Yasası'na uymalıdır,1,1,1,1,1,1,1,1,0
Yanıt kullanıcının düşünce akışını kesintiye uğratmayacak kadar hızlı olmalıdır. Görevlerin %90'ı 5 saniye içinde tamamlanmalıdır. Görevlerin %98'i 8 saniye içinde tamamlanmalıdır,1,1,1,1,1,1,0,1,1
Sunucu arızası dışında yazılım ürünü %99.99 çalışma süresine ulaşmalıdır,1,1,1,1,1,1,1,1,1
Ürün analiz ve çözüm için şirketimize iletilmek üzere üründe karşılaşılan sorunların istisna günlüğünü oluşturmalıdır,1,1,1,1,1,1,1,1,0
Ürün 1.000'e kadar eşzamanlı isteği işleyebilmelidir. Bu sayı Sürüm 2'de 2.000'e çıkacaktır. Eşzamanlılık kapasitesi sabah erken ve öğleden sonra geç saatler gibi yoğun planlama zamanlarını idare edebilmelidir,1,1,1,1,1,1,0,1,1
Ürün lansmanının iki yıl içinde saatte 10.000 işlemi işleyebilmelidir. Bu sayı Sürüm 2'de 20.000'e çıkacaktır,1,1,1,1,1,1,0,1,1
Ürünün her müşteri kurulumu için en az 5 yıl çalışması beklenmelidir,1,1,1,1,1,1,1,1,1
Ürün ofis ortamlarında kullanılacaktır,1,1,1,1,1,1,1,1,0
Ürün herhangi bir HTML tarayıcısıyla arayüz oluşturabilmelidir. Ürün kullanıcı ve ürün arasında sorunsuz veri iletmelidir. Ürün test edilen tüm HTML tarayıcılarının %80'inde HTML'yi düzgün şekilde görüntülemelidir (minimum 8 tarayıcı test edilmelidir),1,1,1,1,1,1,0,1,1
Ürün çeşitli veritabanı yönetim sistemleriyle arayüz oluşturabilmelidir. Ürün tüm işlemlerin %100'ünde veritabanı yönetim sistemiyle başarıyla iletişim kurmalıdır,1,1,1,1,1,1,0,1,1
Ürün çeşitli e-posta sunucularıyla arayüz oluşturabilmelidir. Ürün e-posta gönderebilmelidir,1,1,1,1,1,1,0,1,0
Ürün İnternet üzerinden ikili veya ZIP dosyası olarak dağıtıma sunulmalıdır,1,1,1,1,1,1,1,1,0
Ürün paketli CD olarak dağıtıma sunulmalıdır,1,1,1,1,1,1,1,1,0
Ürün tek sunuculu iki-beş sunuculu veya beş-veya-daha-fazla sunuculu lisans olarak lisanslanabilir olacaktır,1,1,1,1,1,1,1,1,0
Yeni bir kullanıcı 10 dakika içinde sisteme eklenebilmelidir. Yeni kullanıcıların %90'ı 10 dakika içinde sisteme giriş yapabilmektedir,1,1,1,1,1,1,0,1,1
Ürün Tasarım Desenleri ve kodlama en iyi uygulamaları kullanılarak tasarlanmalıdır. Bakım yazılım geliştiricilerinin %90'ı 2 iş günü içinde ürüne yeni işlevsellik entegre edebilmektedir,1,1,1,1,1,1,0,1,1
Ürün son kullanıcılar için çeşitli veritabanı yönetim sistemleriyle kullanım için yüksek düzeyde yapılandırılabilir olmalıdır. Son kullanıcıların %80'i ürünün yazılım kodunu değiştirmeden yeni veritabanı yönetim sistemlerini ürünle entegre edebilmektedir,1,1,1,1,1,1,0,1,1
Bakım sürümleri müşterilere yılda bir kez sunulacaktır. Sürümlerin kurulumu müşteri tabanının %80'i için 5 dakikadan uzun sürmemelidir,1,1,1,1,1,1,0,1,1
Kayıtlı her kullanıcı İnternet üzerinden ürünün destek sitesine erişebilecektir. Kayıtlı kullanıcıların %70'i destek sitesini kullanmanın 5 dakikası içinde sorunlarına çözüm bulmalıdır,1,1,1,1,1,1,0,1,1
Müşteri ürünün yaşam döngüsü boyunca yeni bina haritalarını ürünle kolayca entegre edebilmelidir. Yeni haritaların ürünle entegrasyonu ürün destek personelinden çok az veya hiç destek almadan mümkün olmalıdır,1,1,1,1,1,1,0,1,0
Ürün gelecekteki sürümlerde hedef pazar ülkeleri dillerinin dışındaki yabancı dillere çevrilmelidir. Her gelişmekte olan hedef pazar için ürünü o pazarın dili için yapılandırmak en fazla 5 gün sürmelidir,1,1,1,1,1,1,0,1,1
Ürünün birden fazla veritabanı yönetim sistemiyle entegre olması beklenmektedir. Ürün Oracle SQL Server DB2 MySQL HSQL ve MS Access ile çalışacaktır,1,1,1,1,1,1,0,1,1
Ürün herhangi bir işletim ortamına 2 gün içinde kurulabilmelidir,1,1,1,1,1,1,1,1,1
Ürün yalnızca şirket çalışanlarının veya şirket onaylı kullanıcı kimliklerine sahip harici kullanıcıların ürüne erişebilmesini sağlamalıdır. Tüm oturum açmaların %100'ü şirket çalışanları veya şirket onaylı kullanıcı kimliklerine sahip harici kullanıcılar tarafından olmalıdır,1,1,1,1,1,1,0,1,1
Yalnızca yöneticiler kullanıcıya göre rezervasyonlar için arama sorguları gerçekleştirebilir. Kullanıcıya göre rezervasyonlar için tüm arama sorgularının %100'ü yalnızca yönetim oturum açmalarından olmalıdır,1,1,1,1,1,1,0,1,1
Ürün veritabanının verilerinin kullanıcı tarafından girilen verilere karşılık gelmesini sağlamalıdır. Sistemdeki her toplantı odası rezervasyonu kullanıcı tarafından girilen bilgilerle aynı bilgileri içerecektir,1,1,1,1,1,1,0,1,1
Ürün kötü amaçlı veri girişini engellemelidir. Ürüne her kötü amaçlı veri girişi yapıldığında ürün ve/veya bitişik donanım/yazılım sistemleri verileri %100 bozulmamış kalacaktır,1,1,1,1,1,1,0,1,1
Ürün ve/veya bağımlı veritabanları/dosya sistemleri kötü amaçlı veri girişi sonucunda çalışır durumda kalmalıdır. Ürüne kötü amaçlı veri girişi yapılan zamanın %100'ünde ürün ve/veya bağımlı veritabanları/dosya sistemleri çökmemelidir,1,1,1,1,1,1,0,1,1
Ürün yeni tehditler ortaya çıktıkça otomatik yazılım güncellemeleri alma yeteneğine sahip olmalıdır. Müşterilerin %100'ü kurulu ürüne iletilen otomatik yazılım güncellemelerini alabilecektir,1,1,1,1,1,1,0,1,1
Ürünün dili tüm hedef pazar ülkelerini karşılamalıdır. Her hedef pazar ülkesinden anket katılımcılarının %90'ı ürünün dilinin kabul edilebilir olduğunu bulacaktır,1,1,1,1,1,1,1,1,1
Ürün takvim tarihlerini ve saatlerini kullanıcının yerel ayarına göre görüntüleyebilmelidir. Her hedef pazar ülkesinden anket katılımcılarının %90'ı ürünün tarih ve saat biçimlendirmesinin doğru olduğunu bulacaktır,1,1,1,1,1,1,1,1,1
Ürün J2SE/J2EE programlama dili kütüphaneleriyle geliştirilmelidir,1,1,1,1,1,1,1,1,0
Ürün toplantı girişlerini kaydetmelidir,1,1,1,1,1,1,1,1,0
Ürün çalışanları toplantı davetleri hakkında bilgilendirecektir,1,1,1,1,1,1,1,1,0
Ürün çalışanlara toplantı hatırlatıcıları gönderme yeteneğine sahip olmalıdır,1,1,1,1,1,1,1,1,0
Ürün organizatörün iletişim bilgilerini oluşturdukları her toplantıya atamalıdır,1,1,1,1,1,1,1,1,0
Ürün toplantı onaylarını kaydedecektir,1,1,1,1,1,1,1,1,0
