req_idx,requirement,missing_label,prob,top_tokens,saliency_scores
61,Günlük ortalama geri dönüştürülmüş parça kaydı sayısı 50.000 olmalıdır,Unambiguous,0.4924,"000, ortalama, sayısı","0.937, 0.838, 0.801"
61,Günlük ortalama geri dönüştürülmüş parça kaydı sayısı 50.000 olmalıdır,Verifiable,0.4535,"olmalıdır, Günlük, 000","0.864, 0.702, 0.685"
62,Ürün ilk lansmanın 2 yıl içinde 10.000 eşzamanlı kullanıcıyı idare edebilmelidir,Verifiable,0.4883,"lans, Ürün, melidir","0.904, 0.697, 0.672"
63,Değerlendiriciler için ürün tamir tesisinde kirli ve gürültülü koşullarda çalıştırılabilmelidir,Verifiable,0.3961,"ürün, melidir, Değerlendir","0.980, 0.867, 0.726"
65,Ürünün bakımı kurulmuş kurumsal bakım pencereleri dahilinde kalacaktır,Verifiable,0.381,"kalacaktır, Ürünün, dahilinde","1.000, 0.906, 0.744"
66,Ürün kurumsal destek merkezi kullanılarak desteklenmelidir,Verifiable,0.4877,"Ürün, melidir, kullanılarak","0.731, 0.632, 0.589"
71,Sisteme yalnızca geçerli veri girilmelidir. Sisteme geçersiz veri girilmemelidir,Verifiable,0.4528,"ilmem, ., geçersiz","0.571, 0.571, 0.570"
75,Ürün Sarbanes-Oxley'e uymalıdır,Verifiable,0.3683,"uy, Ürün, malıdır","1.000, 0.875, 0.791"
76,Ürün geri dönüştürülmüş parça kullanımıyla ilgili tahmin yasalarına uymalıdır,Verifiable,0.4526,"malıdır, Ürün, dönüştürül","0.965, 0.926, 0.850"
77,Ürün hasar işlemeyle ilgili sigorta düzenlemelerine uymalıdır,Verifiable,0.4079,"Ürün, hasar, sigorta","0.648, 0.549, 0.546"
78,Kullanıcı araç araç konumu ve mil cinsinden yarıçap kullanarak tercih edilen tamir tesisini aramalıdır,Verifiable,0.4519,"Kullanıcı, lıdır, araç","1.000, 0.593, 0.476"
81,Posta kodu bilinmiyorsa sistem sokak adresi şehir ve eyalet için posta kodunu çözmelidir,Verifiable,0.3491,"bilinmiyor, sa, sistem","0.590, 0.457, 0.451"
84,Eksper tahmin atamasına tercih edilen tamir tesisini girmelidir,Verifiable,0.3571,"atama, lidir, Eks","1.000, 0.911, 0.904"
85,Eksper tahmin atamasında tercih edilen tamir tesisini geçersiz kılabilmelidir,Verifiable,0.3647,"Eks, lidir, geçersiz","1.000, 0.768, 0.718"
86,Tercih edilen tamir tesisi kullanıcıya döndürülmelidir,Verifiable,0.2921,"tesisi, kullanıcıya, melidir","1.000, 0.884, 0.866"
87,Tercih edilen tamir tesisi belirlenemezse sistem yarıçap içindeki tamir tesislerinin listesini döndürmelidir,Unambiguous,0.3547,"melidir, döndür, Tercih","0.611, 0.555, 0.499"
88,Değerlendirici hasarlı araç parça bilgilerini kullanarak mevcut geri dönüştürülmüş parçaları aramalıdır,Verifiable,0.2698,"hasar, lıdır, ici","0.398, 0.380, 0.374"
89,Değerlendirici tercih edilen parça tedarikçileri listesini kullanarak mevcut geri dönüştürülmüş parçaları aramalıdır,Unambiguous,0.3361,"Değerlendir, tercih, lıdır","0.523, 0.438, 0.436"
90,Sistem sağlanan araç parçaları ve tedarikçiler için mevcut geri dönüştürülmüş parçaları aramalıdır,Verifiable,0.2342,"lıdır, Sistem, sağlanan","0.765, 0.668, 0.602"
92,Sistem aramadan döndürülen mevcut geri dönüştürülmüş parçaları ve tedarikçileri saklamalıdır,Verifiable,0.3587,"aramada, Sistem, lıdır","1.000, 0.798, 0.632"
93,Mevcut geri dönüştürülmüş parça bilgileri ve tedarikçileri kullanıcıya döndürülmelidir,Verifiable,0.2885,"kullanıcıya, melidir, döndür","0.532, 0.514, 0.508"
94,Değerlendirici seçilen geri dönüştürülmüş parçaları çarpışma tahminine uygulamalıdır,Verifiable,0.3803,"uygulamalı, Değerlendir, ici","1.000, 0.942, 0.720"
96,Eksper çarpışma tahminini gözden geçirmelidir,Verifiable,0.3805,"çarpışma, Eks, per","0.857, 0.763, 0.727"
98,Değerlendiriciye sağlanan geri dönüştürülmüş parça arama sonuçları sistem tarafından alınmalıdır,Verifiable,0.4427,"alınmalıdır, Değerlendir, dönüştürül","0.576, 0.564, 0.437"
99,Sistem mevcut geri dönüştürülmüş parçalar ve çarpışma tahminine dayalı bir denetim raporu oluşturmalıdır,Verifiable,0.4777,"lıdır, Sistem, tahmini","0.678, 0.537, 0.452"
100,Denetim raporu tahminde kullanılan geri dönüştürülmüş parçaların toplam sayısını içermelidir,Verifiable,0.2673,"melidir, raporu, tahmin","0.330, 0.309, 0.300"
